Date,Year,Month,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl,Month_Num,Quarter,Price_gold_Lag_1,Price_gold_Lag_2,Price_gold_Lag_3,Price_gold_Rolling_Mean_3,Price_gold_Returns,Price_silver_Lag_1,Price_silver_Lag_2,Price_silver_Lag_3,Price_silver_Rolling_Mean_3,Price_silver_Returns,Price_alum_Lag_1,Price_alum_Lag_2,Price_alum_Lag_3,Price_alum_Rolling_Mean_3,Price_alum_Returns,Price_nickel_Lag_1,Price_nickel_Lag_2,Price_nickel_Lag_3,Price_nickel_Rolling_Mean_3,Price_nickel_Returns,Price_uran_Lag_1,Price_uran_Lag_2,Price_uran_Lag_3,Price_uran_Rolling_Mean_3,Price_uran_Returns
1992-05-01,1992,May,1306.79,337.24,7326.8,4.07,7.55,89.59,2477.543161,639.373316,13890.88012,7.716313,14.314045,5,2,338.62,344.34,353.91,340.06666666666666,-0.00407536471561043,4.05,4.11,4.15,4.076666666666667,0.004938271604938427,1317.05,1280.47,1266.83,1301.4366666666667,-0.007790137048707346,7420.6,7417.7,7861.9,7388.366666666666,-0.01264048729213274,7.75,7.75,7.9,7.683333333333334,-0.02580645161290329
1992-06-01,1992,Jun,1275.55,340.81,7192.8,4.06,7.75,89.59,2418.315245,646.141679,13636.82952,7.697354,14.693225,6,2,337.24,338.62,344.34,338.89000000000004,0.010585932866800984,4.07,4.05,4.11,4.06,-0.002457002457002644,1306.79,1317.05,1280.47,1299.7966666666669,-0.023905906840425817,7326.8,7420.6,7417.7,7313.400000000001,-0.018289021127913974,7.55,7.75,7.75,7.683333333333334,0.026490066225165476
1992-07-01,1992,Jul,1313.05,352.72,7497.9,3.97,7.75,89.59,2489.411495,668.721848,14215.26861,7.526723,14.693225,7,3,340.81,337.24,338.62,343.59,0.03494615768316667,4.06,4.07,4.05,4.033333333333333,-0.02216748768472887,1275.55,1306.79,1317.05,1298.4633333333334,0.029399082748618355,7192.8,7326.8,7420.6,7339.166666666667,0.04241741741741745,7.75,7.55,7.75,7.683333333333334,0.0
1992-08-01,1992,Aug,1305.05,343.06,7268.0,3.81,8.05,89.59,2474.244295,650.407454,13779.4012,7.223379,15.261995,8,3,352.72,340.81,337.24,345.53000000000003,-0.027387162621909766,3.97,4.06,4.07,3.9466666666666668,-0.04030226700251893,1313.05,1275.55,1306.79,1297.8833333333332,-0.006092684970107731,7497.9,7192.8,7326.8,7319.566666666667,-0.030661918670561006,7.75,7.75,7.55,7.8500000000000005,0.03870967741935494
1992-09-01,1992,Sep,1269.61,345.43,6917.5,3.77,8.75,89.59,2407.053599,654.900737,13114.88825,7.147543,16.589125,9,3,343.06,352.72,340.81,347.07,0.00690841252259089,3.81,3.97,4.06,3.85,-0.01049868766404205,1305.05,1313.05,1275.55,1295.9033333333332,-0.02715604766100921,7268.0,7497.9,7192.8,7227.8,-0.04822509631260319,8.05,7.75,7.75,8.183333333333334,0.08695652173913038
1992-10-01,1992,Oct,1173.78,344.38,6305.3,3.75,10.25,89.59,2225.369502,652.910042,11954.21827,7.109625,19.432975,10,4,345.43,343.06,352.72,344.29,-0.003039689662160283,3.77,3.81,3.97,3.776666666666667,-0.0053050397877983935,1269.61,1305.05,1313.05,1249.4799999999998,-0.07547987177164639,6917.5,7268.0,7497.9,6830.266666666666,-0.08850018070112031,8.75,8.05,7.75,9.016666666666667,0.17142857142857149
1992-11-01,1992,Nov,1159.05,335.02,5564.88,3.77,10.5,89.59,2197.442895,635.164418,10550.45599,7.147543,19.90695,11,4,344.38,345.43,343.06,341.60999999999996,-0.02717927870375747,3.75,3.77,3.81,3.763333333333333,0.005333333333333412,1173.78,1269.61,1305.05,1200.8133333333333,-0.012549200020446794,6305.3,6917.5,7268.0,6262.56,-0.11742819532774018,10.25,8.75,8.05,9.833333333333334,0.024390243902439046
1992-12-01,1992,Dec,1207.1,334.82,5724.07,3.73,10.0,89.59,2288.54089,634.785238,10852.26431,7.071707,18.959,12,4,335.02,344.38,345.43,338.0733333333333,-0.0005969792848188327,3.77,3.75,3.77,3.75,-0.010610079575596787,1159.05,1173.78,1269.61,1179.9766666666667,0.041456365126612216,5564.88,6305.3,6917.5,5864.75,0.02860618737510956,10.5,10.25,8.75,10.25,-0.04761904761904767
1993-01-01,1993,Jan,1206.76,329.01,5930.93,3.68,9.8,84.15,2222.24854,605.871915,10921.8076,6.77672,18.0467,1,1,334.82,335.02,344.38,332.95,-0.017352607371124762,3.73,3.77,3.75,3.7266666666666666,-0.013404825737265313,1207.1,1159.05,1173.78,1190.97,-0.0002816668047385118,5724.07,5564.88,6305.3,5739.96,0.0361386216450883,10.0,10.5,10.25,10.1,-0.019999999999999907
1993-02-01,1993,Feb,1201.85,329.31,6038.68,3.66,10.1,84.15,2213.206775,606.424365,11120.22922,6.73989,18.59915,2,1,329.01,334.82,335.02,331.0466666666666,0.0009118263882557098,3.68,3.73,3.77,3.69,-0.005434782608695676,1206.76,1207.1,1159.05,1205.2366666666667,-0.004068746063840445,5930.93,5724.07,5564.88,5897.893333333333,0.018167471206033348,9.8,10.0,10.5,9.966666666666667,0.030612244897959107
